fh_snr,fh_spectral_purity,fh_peak_prominence,fh_dominant_freq,fh_harmonic_ratio,fh_spectral_entropy,fh_spectral_centroid,fh_mad,fh_std,fh_zcr,fh_kurtosis,fh_skewness,lc_snr,lc_spectral_purity,lc_peak_prominence,lc_dominant_freq,lc_harmonic_ratio,lc_spectral_entropy,lc_spectral_centroid,lc_mad,lc_std,lc_zcr,lc_kurtosis,lc_skewness,corr_fh_lc,corr_fh_rc,corr_lc_rc,coherence_fh_lc,coherence_fh_rc,coherence_lc_rc,phase_diff_fh_lc,phase_diff_fh_rc,bpm_estimate,signal_stationarity,bpm_consistency,label
-7.762709911989197,0.14338810057659257,0.6796723977035125,1.845703125,0.39996160389641494,6.146757147212833,2.0035799170143336,0.6910499719621739,0.8999762778566127,0.13377926421404682,0.49713575838448376,-0.7642379026183005,-4.695820137445857,0.2532690573808274,3.325653205309309,0.966796875,0.9354968106940461,5.744267859985445,1.5800847955907407,1.0736257090535402,1.4317330190431405,0.08361204013377926,0.6218009306513985,-0.3569528196565202,0.4105892245529477,-0.20709766205797578,-0.509042287567163,1.0,1.0,1.0,1.6942107963463575,0.09698418335350699,110.7421875,0.8374762592214311,0.7464168785008782,0
-6.508156244819945,0.18264063845905681,0.5494770633139017,0.732421875,0.20746060114996223,6.3020532831762415,1.8270771728365434,0.630098999782035,0.8275057825902764,0.13758389261744966,0.4974157314858294,0.08009312580735256,0.21383529325113065,0.5123068627497173,1.563504545863194,0.9521484375,0.15989150262618074,5.537412231934886,1.4081225680919367,0.5047716880383151,0.6477358697431049,0.1174496644295302,0.09586587623661291,-0.016146307592117003,0.16769153704541268,0.22195124336063352,0.6216935425122943,1.0,1.0,1.0000000000000002,1.6470355154912528,2.0729366379829965,43.9453125,0.5928185166609332,0.8762317654981902,0
-3.061734845974726,0.33070669961413307,0.31906483423214654,0.9521484375,0.5890505359272378,5.928626194631585,1.477332597867998,0.5006441020593521,0.744235595687797,0.11986301369863013,7.116574242517556,0.9949494109832715,0.7147402961992666,0.5410511449267605,2.1887431411897933,0.8544921875,0.23288731530438816,5.654587513413747,1.3566174581921087,0.9108532670581507,1.1705442045899683,0.10616438356164383,0.457529707812784,-0.14555996778452154,0.09366577134618148,0.2826462252401066,-0.2697998204962217,1.0,1.0,1.0,1.051867048480563,1.1978093867126398,57.12890625,0.18622638098264255,0.9558650496877255,0
1.172270597697049,0.5670745613013023,1.3600836436703798,1.123046875,0.07136714726181416,5.476899549256247,1.3595534948086017,0.5685461476939174,0.6714041635923107,0.1040268456375839,-0.7740844896938985,-0.06732979613361971,1.251308480905842,0.5715368993595897,0.5610527641011119,1.171875,0.11246381750085162,5.668041534410788,1.3614263637696813,0.4059759213234696,0.5089357841797473,0.1174496644295302,0.04541954113245028,0.28590925644713866,0.6852496383664688,0.18437183900674448,0.18596355701135725,1.0,1.0,1.0,0.19942465795948347,0.09781255095117289,67.3828125,0.6811618837132638,0.9129636323232502,0
2.4623801799150136,0.6380669556307879,2.0004768251502014,0.9375,0.0516634980634607,5.238896358006992,1.221650861240947,0.6943576932328479,0.8537091632313097,0.09364548494983277,-0.3504275029856436,0.04533688028347863,1.802538853713893,0.6022981320048924,0.5559303727332454,0.849609375,0.27783600359766436,5.3427190006533225,1.236991208684972,0.5347472431967051,0.6913247919967085,0.0903010033444816,-0.06483816985790813,0.06803676202949052,0.6132562747629055,0.7221600110134003,0.4272003162967941,1.0,1.0,1.0,0.6206985989319475,0.03718969748783654,56.25,0.7234788113695172,0.923453445551634,0
-2.5873225951566337,0.35531593037440806,0.9662200216793919,0.87890625,0.2389570661963622,5.71112109755237,1.5534759630065316,0.7996228335095492,1.121701370184889,0.09698996655518395,2.5379693884991212,0.2966898358404642,-1.099312621443447,0.4370542130869579,1.2382367006737445,0.99609375,0.12762059356823838,5.7397868474761085,1.4249974637875087,0.8823442311194539,1.3008462245503087,0.11371237458193979,5.538999200782827,-1.4270942143380871,0.10523765968844805,0.5016900996992341,-0.44103948703613555,1.0,1.0,1.0,0.2742700787293041,0.13383264263917563,52.734375,0.23955593891816385,0.9463261103928763,0
-7.068850741867436,0.16415075365607185,0.10904453332379913,0.7568359375,0.7955367338288962,6.2627781400615214,1.5914073199856027,0.3526622120281644,0.4791113528750065,0.1245674740484429,2.6090845746427282,0.5969470063405272,-0.8027989940745692,0.4539183180225198,0.45059937328770944,0.8056640625,0.2691878455290432,5.671620778344899,1.2055974797685853,0.6130732565234174,0.8460018304440343,0.08996539792387544,1.5004951810857188,-0.49762619616623927,-0.14044092713031944,0.24687380392694674,-0.6318271652535534,1.0,1.0,1.0,0.6007585504420516,2.260545361719226,45.41015625,0.2983419040811218,0.8765573200544037,0
-2.7721812164990425,0.34562678558538856,1.0986598564746115,1.845703125,0.030092156493579877,5.641413011703311,1.5835221683066647,0.870970121748191,1.1995403918676655,0.11409395973154363,2.4003710963228144,-0.38817968380983864,-1.4028667446983267,0.41993943904953634,2.6927161065449186,0.908203125,0.4694927226725499,5.586269055149007,1.3596261199544541,1.4561235984618535,1.8737470556953641,0.087248322147651,0.09583716941598386,-0.4932030855782287,0.31355074734855376,0.7198175664282629,-0.20887277388290956,1.0,1.0,1.0,0.07885287700619613,0.41336453414126756,110.7421875,0.14531154122536216,0.6617990497026971,0
-2.1792162233775487,0.37712173019373413,0.15714071305048552,0.791015625,0.22608579835894052,5.409880022998159,1.2919770821321306,0.3286271935985645,0.4099733570349977,0.08389261744966443,0.007673502529192522,-0.05182400833814277,-2.7848401260255944,0.34496784052326757,0.29645644911244107,1.845703125,0.010282102712533124,6.003873584458964,1.885101611190911,0.5227871476409022,0.8475144620354583,0.1174496644295302,6.074660019627327,-0.22699883339284202,0.004031450112298271,-0.14899018115984974,-0.26059282404725564,1.0,1.0,1.0,0.45362329343998514,2.2081946944849182,47.4609375,0.1882699038323633,0.6229461378725097,0
-1.9813545839440085,0.3878820360500853,0.2808381576671695,0.927734375,0.19789600759718143,6.229462313756182,1.5532759238290805,0.44903724476006035,0.6451144684247037,0.12878787878787878,4.719121194128498,0.9940029451981012,1.7632500946546739,0.6001291682948271,3.1498376952643086,1.0986328125,0.11778253279652588,5.693483213320011,1.3118980828561853,1.6433482009395042,3.482005756864805,0.10606060606060606,32.47405574184752,4.998953316911522,0.6127294896358485,0.6565877043994565,0.6823568099201837,1.0,1.0,1.0,1.9747223243812493,0.684564614419039,55.6640625,0.4007612640667564,0.9299066598024418,0
