,accuracy,precision,recall,f1,auc,cv_auc_mean,cv_auc_std,time
LogisticRegression,0.6455696202531646,0.6896551724137931,0.5128205128205128,0.5882352941176471,0.7423076923076922,0.711498920769603,0.02307787290491005,0.12148880958557129
Ensemble_Top3,0.6708860759493671,0.7407407407407407,0.5128205128205128,0.6060606060606061,0.7365384615384616,,,
LightGBM,0.6582278481012658,0.7142857142857143,0.5128205128205128,0.5970149253731343,0.7192307692307692,0.7364282125711733,0.06311078451243908,50.62016320228577
XGBoost,0.6582278481012658,0.7307692307692307,0.48717948717948717,0.5846153846153846,0.7115384615384616,0.745583063525734,0.059806961616203996,1.8236892223358154
GradientBoosting,0.6075949367088608,0.6333333333333333,0.48717948717948717,0.5507246376811594,0.708974358974359,0.760410851847717,0.05164087751697732,3.6961915493011475
ExtraTrees,0.6329113924050633,0.6923076923076923,0.46153846153846156,0.5538461538461539,0.7076923076923077,0.7630310092664955,0.03765318065710977,1.1868810653686523
RandomForest,0.5949367088607594,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.6923076923076923,0.7730662238100555,0.07439199946028409,3.447342872619629
SVM_RBF,0.5949367088607594,0.6060606060606061,0.5128205128205128,0.5555555555555556,0.6118589743589744,0.716248464887797,0.04991014888922872,0.10137200355529785
