,accuracy,precision,recall,f1,auc,time,epochs_trained
CNN_BiLSTM,0.6329113924050633,0.631578947368421,0.6153846153846154,0.6233766233766234,0.7397435897435897,2.2503654956817627,40.0
DL_Ensemble,0.6582278481012658,0.6578947368421053,0.6410256410256411,0.6493506493506493,0.7301282051282051,12.118388652801514,-
CNN_1D,0.6455696202531646,0.6341463414634146,0.6666666666666666,0.65,0.7076923076923076,2.610123872756958,15.0
PhysNet_MLP,0.6455696202531646,0.6571428571428571,0.5897435897435898,0.6216216216216216,0.6897435897435897,0.7435050010681152,14.0
BiLSTM_Attention,0.6455696202531646,0.6341463414634146,0.6666666666666666,0.65,0.6762820512820513,2.5149190425872803,46.0
Transformer,0.5822784810126582,0.59375,0.48717948717948717,0.5352112676056338,0.6576923076923077,3.9994752407073975,60.0
